"date","transaction_details","debit","credit","net_amount"
"2024-01-09","Sugarcane plate and parcel box",25,,25
"2023-12-24","Pamplet Printing",9800,,9800
"2023-12-29","Pamphlet Distribution - 2000 pamphlet",600,,600
"2023-12-30","Shop decoration for Grand Opening",2000,,2000
"2023-12-30","Pamphlet Distribution - 7000 pamphlet",2800,,2800
"2023-12-31","Shop decoration for Grand Opening",1500,,1500
"2024-01-10","Grand opening banner",1200,,1200
"2023-09-18","Loan from Giri",25000,,25000
"2023-09-24","Madhan Capital Contribution",36580,,36580
"2023-09-24","Nandhini Bhuvanesh Capital",1000,,1000
"2023-09-25","Loan from Dorai",100000,,100000
"2023-09-25","Loan from Giri",20000,,20000
"2023-09-28","Nandhini Bhuvanesh Capital Contribution",99000,,99000
"2023-09-29","Rental Deposit -  Elumalai and Sarasu",,250000,-250000
"2023-10-04","Loan from Giri",50000,,50000
"2023-10-05","Loan from Giri",35000,,35000
"2023-10-09","Loan from Dorai",100000,,100000
"2023-10-10","Logo Design",,8000,-8000
"2023-10-12","Rental Deposit - Elumalai and Sarasu",,150000,-150000
"2023-11-18","Trade Mark fees and stamp paper purchase for POA",,18080,-18080
"2023-11-18","Tea Samples",,250,-250
"2023-12-01","Shop Rent - 15 Days (Nov 16 to 30 2023)",,15000,-15000
"2023-12-09","Rubber Stamp",,300,-300
"2023-12-13","Pooja Item Purchase for Homam including return gift",,7971,-7971
"2023-12-13","CCTV - Part payment",,15000,-15000
"2023-12-18","Olx Jobs Promotion",,89,-89
"2023-12-20","Water Can Purchase",,40,-40
"2023-12-21","Flavoured Tea Samples",,556,-556
"2023-12-22","Carton box purchase",560,,560
"2023-12-23","Ice Cube purchase",,100,-100
"2023-12-23","Biscuit Purchase",,436,-436
"2023-12-24","Goli Soda Purchase",,1152,-1152
"2023-12-24","Filter and ginger purchase",,137,-137
"2023-12-24","Kitchen equipment purchase",,29,-29
"2023-12-02","Shyam Capital Contribution",100000,,100000
"2023-12-02","Equipment Purchase advance",,5000,-5000
"2023-12-09","Pooja Item Purchase",,1150,-1150
"2023-12-09","Equipment Purchase advance",,25000,-25000
"2023-12-11","God Photo Frame",,500,-500
"2023-12-12","Equipment Purchase advance",,23426,-23426
"2023-12-16","SSN - Kitchen Equipment purchases",,44924,-44924
"2024-03-01","Bank Charges for minimum balance",2360,,2360
"2024-03-12","Bank Charges- account keeping charges",159.94,,159.94
"2024-03-16","Electricity Expense",312.45,,312.45
"2023-12-23","Biscuit Purchase",436,,436
"2023-12-25","Puff Purchase",480,,480
"2023-12-26","Puff Purchase",480,,480
"2023-12-27","Puff Purchase",240,,240
"2023-12-29","Puff Purchase",215,,215
"2023-12-30","Puff Purchase",240,,240
"2024-01-01","Puff Purchase",992,,992
"2024-01-01","Puff Purchase",538,,538
"2024-01-02","Puff Purchase",270,,270
"2024-01-04","Puff Purchase",135,,135
"2024-01-05","Samosa and Puff Purchase",385,,385
"2024-01-06","Puff Purchase",270,,270
"2024-01-07","samosa purchase",380,,380
"2024-01-08","Puff Purchase",90,,90
"2024-01-09","Puff Purchase",487,,487
"2024-01-10","Puff Purchase",219,,219
"2024-01-11","Puff Purchase",210,,210
"2024-01-12","Puff Purchase",210,,210
"2024-01-13","Puff Purchase",480,,480
"2024-01-14","Puff Purchase",750,,750
"2024-01-16","Puff Purchase",505,,505
"2024-01-17","Puff Purchase",593,,593
"2024-01-18","Puff Purchase",650,,650
"2024-01-18","Biscuit Purchase",310,,310
"2024-01-19","Puff Purchase",680,,680
"2024-01-20","Puff Purchase",980,,980
"2024-01-21","Puff Purchase",100,,100
"2024-01-22","Puff Purchase",1316,,1316
"2024-01-23","Puff Purchase",696,,696
"2024-01-24","Puff Purchase",696,,696
"2024-01-25","Puff Purchase",696,,696
"2024-01-28","Puff Purchase - 26, 27 , 28 Jan",2207,,2207
"2024-01-29","Puff Purchase",614,,614
"2024-01-30","Puff Purchase",614,,614
"2024-01-31","Puff Purchase",854,,854
"2024-02-02","Puff Purchase",500,,500
"2024-02-03","Puff Purchase",754,,754
"2024-02-04","Puff Purchase",560,,560
